CFSProbComp,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Public Service Department
Completed Work Orders by Problem Type",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Page:,1
Date:,,,01/18/2019,,,,,,,,,,,,,,,,,,
,,,,,,,,01/01/2018,,,to,,12/31/2018,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TOTALS FOR PS TYPE: PS10 Pothole,,,,,,,,,,,,,,,,,,,,,
,WO Num,,,,,                 Created,,,Completed,,,,,Organ,Ctr,WO Units,,,Weight,,
,WO-PS-18-002869,,,,,2/21/2018 2:18 PM,,,2/21/2018 12:00 AM,,,,,43173,307 ,1.05,,,1,,
,WO-PS-18-002904,,,,,2/22/2018 7:07 AM,,,2/20/2018 12:00 AM,,,,,43172,205 ,2,,,"4,178",,
,WO-PS-18-002908,,,,,2/22/2018 7:30 AM,,,2/21/2018 12:00 AM,,,,,43172,200 ,1,,,"1,964",,
,WO-PS-18-002934,,,,,2/22/2018 9:06 AM,,,2/22/2018 12:00 AM,,,,,43174,403 ,0,,,0,,
,WO-PS-18-002935,,,,,2/22/2018 9:09 AM,,,2/21/2018 12:00 AM,,,,,43176,600 ,2,,,2,,
,WO-PS-18-002952,,,,,2/22/2018 1:27 PM,,,2/22/2018 12:00 AM,,,,,43173,300 ,1.06,,,1,,
,WO-PS-18-002977,,,,,2/23/2018 7:38 AM,,,2/21/2018 12:00 AM,,,,,43174,400 ,0,,,0,,
,WO-PS-18-002978,,,,,2/23/2018 7:42 AM,,,2/22/2018 12:00 AM,,,,,43174,400 ,1.03,,,1,,
,WO-PS-18-002986,,,,,2/23/2018 8:05 AM,,,2/22/2018 12:00 AM,,,,,43172,200 ,2,,,"3,925",,
,WO-PS-18-002996,,,,,2/23/2018 8:50 AM,,,2/22/2018 12:00 AM,,,,,43176,600 ,1.5,,,2,,
,WO-PS-18-003008,,,,,2/23/2018 10:39 AM,,,2/23/2018 12:00 AM,,,,,43175,506 ,1.1,,,"2,136",,
,WO-PS-18-003015,,,,,2/23/2018 10:51 AM,,,2/23/2018 12:00 AM,,,,,43172,210 ,1,,,0,,
,WO-PS-18-003036,,,,,2/23/2018 12:54 PM,,,2/23/2018 12:00 AM,,,,,43173,300 ,1.07,,,1,,
,WO-PS-18-003060,,,,,2/26/2018 6:33 AM,,,2/23/2018 12:00 AM,,,,,43172,200 ,1.5,,,"3,090",,
,WO-PS-18-003079,,,,,2/26/2018 8:50 AM,,,2/23/2018 12:00 AM,,,,,43174,400 ,1.05,,,1,,
,WO-PS-18-003080,,,,,2/26/2018 8:53 AM,,,2/23/2018 12:00 AM,,,,,43176,605 ,1,,,1,,
,WO-PS-18-003109,,,,,2/26/2018 12:29 PM,,,2/26/2018 12:00 AM,,,,,43173,300 ,1.05,,,1,,
,WO-PS-18-003130,,,,,2/26/2018 1:44 PM,,,2/26/2018 12:00 AM,,,,,43175,500 ,2.1,,,"2,110",,
